,x,y
980,i could look it up and act like i know what it is and lie to you about it and feel smug in my know it all ness but frankly i m way too lazy for all that,joy
981,i go home i feel so empty,sadness
982,i have something to tell you girls i finally feel brave enough to share the news,joy
983,i feel defeated like a lion s prey,sadness
984,i like him for who he is or i just like the feeling to be liked,love
985,i am excited i hope they will be a it more personal with us and i wont feel like i am being rushed in and out,anger
986,i surround myself with bible verses that help me to transcend to a space where i feel safe and secure,joy
987,i don t know why it is that i feel awkwardly hesitant to return to melbourne,fear
988,i feel a little less gloomy a little more optimistic or a little better prepared to face what life throws my way,sadness
989,i wont lie im a little worried and nervous and i feel inadequate for the job but ill just do my best thats all my heavenly father wants of me,sadness
990,i slough off the carapace of crud that has enveloped me for the past thirty odd hours i feel invigorated and finally ready to face the day,joy
991,ive been a busy girl but it has been a very good type of busy and im feeling really happy about things right now and i am loving my new start in glasgow,joy
992,when my mother kept me in leadingstrings,anger
993,i set my mind to wanting a specific item needing it for a specific event or at a specific time i find ill end up spending more than i want to because i feel pressured by constraints,fear
994,i had written a prayer in my journal that morning after meditating on the greatness of our lord in psalm and had written in closing may we feel your tender care today,love
995,i should have been depressed but i was actually feeling inspired,joy
996,i feel like not enough people my age actually think that most are pretty devastated that their s have come and gone,sadness
997,i get home i laze around in my pajamas feeling grouchy,anger
998,i am feeling pretty homesick this weekend,sadness
999,i started out feeling really optimistic and driven for this paper coz it was gonna teach me the meaning and ways of being a leader,joy
1000,i need to do the best i possibly can do and even when i get out at i feel too listless to study like right now,sadness
1001,i drove us to the car parts place and terry feels like im safe to drive again so yippee,joy
1002,i am thankful for feeling useful,joy
1003,i feel like even though i dont buy into societys ideas about what a woman should look like i am still constantly unhappy with myself,sadness
1004,i have no idea how i feel beyond wanting to be with my beloved,love
1005,i don t want to tell people how my first was with you and how you made me feel i don t want to think that you re the most gorgeous guy i ve ever seen and i love how other people disagree because i don t want them to see how truly wonderful you are to me,joy
1006,i still feel like the admission that i don t like this popular show puts me in a category with people who kick puppies or people who or who steal the ratty clothes off the backs of dickensian orphans,joy
1007,i feel the character im doing is a little more beaten down and the comedy is a little bit smaller,sadness
1008,i feel everything around me is fucked everyone around me is falling to pieces,anger
1009,i anyone another lovely day today weather am running late with life generally and not done any art today yet feel deprived bit of,sadness
1010,i feel extremely insulted,anger
1011,i blanked a little on a lesson and she seamlessly jumped in to support me without making me feel stupid or inferring it to the kids,sadness
1012,i feel like i smell this scent all over taiwan quite frequently in cute coffee shop bathrooms,joy
1013,i feel like im the one to be blamed for all things,sadness
1014,i cant help feeling mad at this man,anger
1015,i guess it all just depends on my mood whether im feeling sociable or not,joy
1016,i think of how much time we spent just doing fun childhood stuff together as a family i feel amazed,surprise
1017,i continued to feel very submissive and continued to be aroused as well,sadness
1018,i told im i didnt want him to feel uncomfortable,fear
1019,i feel constantly at battle like i need to continuously improve myself but then feel like nothing i do will ever be enough and that makes me feel chronically exhausted,sadness
1020,i feel like im a shy enormous pink flamingo man,fear
1021,i feel like as much as it was an unfortunate situation that i wasnt with my father i was in a great place,sadness
1022,i just want to show them that i can take care of myself and i feel wronged by staying with them,anger
1023,i went ahead and did the shooting afterwards a few of the guys asked me to go out for drinks and i agreed i knew i should have rang you tried to work things out with you but i was angry and feeling stubborn,anger
1024,im listening to right now because i feel like i need it and i want to share it with you little ones despite my convinced atheism somehow it never fails to make me feel better,joy
1025,ive been comfort eating because im still feeling rubbish and i havent bothered to log most of it so theres no point checking on my food log yeah i know some of you do that,anger
1026,i feel so honored to be nominated for this award,joy
1027,im feeling quite joyful today,joy
1028,when i received the first year results as the first year had involved a lot of work and i was very pleased when i got the results,joy
1029,i feel like ive isolated myself from regular relationships,sadness
1030,i am also not a perfect girl friend and im always a disappointment always feeling so doubtful and always putting you through a hard time with my mood swings and sudden outburst of low emo mood,fear
1031,i feel assured the world around me seems brighter,joy
1032,i cant hide my feeling when i feel so glad,joy
1033,i feel like how i m pissed that i have to spend an entire extra year in school because of stupid biochem,anger
1034,i am ready to cry because i feel such a sweet presence of the ruach hakodesh the holy spirit in my room with me right now,joy
1035,i feel confused too,fear
1036,i attempted to call my mom to talk to her but she answered the phone with suck fake regard for my feelings she had her jolly voice on and i just told her nevermind and she said okay i have a couple guests walking through the door so i have to go and feed them some pie,joy
1037,i feel for this little pound lovely is truly a gift,love
1038,i posted on here and i m feeling very neglectful,sadness
1039,i woke up monday feeling like crap and blamed it on the weather,sadness
1040,i zoom into those difficulties into feeling like having to give up everything and feeling more then helpless alone in a desert cast out by the ways voices and actions of others that is another story when i zoom into it i also temporarily loose the view of the full picture,sadness
1041,i didnt feel like anyone really hated me or noone new anyway and i managed to just not think about those who do,sadness
1042,i have these random moments where i feel suddenly very creative and would love to sit down and hear the tick tick tick of the keyboard keys as my thoughts spilled out onto the screen,joy
1043,i feel nostalgic to travel away from my country my family and my friends not because i dont like them,love
1044,i found these emails from scott dale and just reading them frusterated me so much that i feel the need to post them and show the world what a neurotic freak he was is,fear
1045,i smoothly hand her a twenty feeling smug that they are both interested,joy
1046,i did see some things that i would never have done myself for the movie adaption but feel that if i did not read the book it would not have bothered me,anger
1047,ive had to harden my heart to toughen my skin in order to truly protect myelf from feeling utterly devastated,sadness
1048,i feel like its the perfect time to enlist some extra help,joy
1049,i somehow feel more vulnerable without it,fear
1050,i don t know how i feel about today because part of me is convinced that i am making this so much more difficult than it actually is or as mehow casually remarks in the april infield insider getting out of the box you are in that was never there in the first place,joy
1051,i was feeling a bit casual and put on a plain tank top with loose bottoms i got from zara,joy
1052,i think we i can get caught up in the nature of being busy of feeling the need to fill each moment with industry of some sort of occupying blank spaces with effort and chores,sadness
1053,i am feeling very fearful that things arent going to go the way i want them to with my ex,fear
1054,i honestly feel kind of embarrassed and a bit guilty,sadness
1055,i said i wanted to give you a little sample of the writing i denied you then but i m feeling a little more generous today i suppose because i just have to share one little taste,joy
1056,i feel a bit rotten putting a post about teaching into the stones tag list for this blog its not really a grumble or groan subject for me to be honest,sadness
1057,ive learned in this short journey thus far is i know when my body has had enough of sugar and fast food and junk even though those days are far and few between i start to feel lethargic,sadness
1058,i felt better on thursday and today friday felt good enough to come into work though i still feel kind of shitty and foggy,sadness
1059,i just feel disappointed for losing he said,sadness
1060,i need to get in touch with what i want and how i want to feel did i mention how much i hate people caring for me,love
1061,i feel like a failure of a parent which add that to the emotional rollercoaster of having to have an unplanned c section and well some days i feel like i have just failed from the beginning,sadness
1062,i feel rather intimidated by my re his impressive background and the clinic in general,fear
1063,i secretly well i guess not secretly anymore feel insecure about this but at the same time want them to learn how to come up with common ground by themselves,fear
1064,i need to feel assured i need to feel secure,joy
1065,i could genuinely feel loving toward someone without them ever knowing it if i dont act like it,love
1066,i feel like the people that disliked it the most,sadness
1067,i can never seem to get on the good foot and i feel so crappy,sadness
1068,i want something that gives me a major orgasm that will make me feel so horny ill screw anything that moves,love
1069,i drove home i was aware of feeling not like myself and then she called to ask if i was ok,joy
1070,i feel guilty for complaining about my life knowing that there are people out there who have it much worse than i do,sadness
1071,id feel completely lost without him,sadness
1072,im feeling discouraged i can look at that and remember i can achieve the goals i set for myself and i can always surprise myself with successes,sadness
1073,i tried to explain what my lyme and coinfections feel like i guess i could say it is a horrible painful nightmare that just won t end,sadness
1074,i cherish that feeling of babies asleep on my chest their amazingly sweet breath and the feeling they give me of i am needed,love
1075,i can feel it weighing on me filling my thoughts as i try to do homework or help out at special olympics,joy
1076,i love the rainbow look that i have going on and think that it feels really festive i just hope the kids don t feel like it s suppose to be a constant party in our classroom thanks to the tissue paper balls,joy
1077,i feel incredibly idiotic but i was also embarrassed because it hadnt been their fault at all and i had yelled at one of the workers on the phone out of frustration about needing to call them a million times sending so many emails and still the problem was not solved,sadness
1078,i feel so uncomfortable about the word hero,fear
1079,i can do to that would truly express the utter gratitude and thankfulness i feel for your sincere gesture and i am very grateful,joy
1080,i feel energized and eager to write tomorrow,joy
1081,i feel respected so his notions of feeling good or thinking good about someone become my notions of ensuring respect,joy
1082,i feel so ecstatic that i survived my comprehensive exams because i was never sure if i would survive not just pass but survive,joy
1083,i feel honoured to wear this one,joy
1084,i remember feeling very very violent and very disgusted the oscar winner tells access hollywood,anger
1085,i woke up on the sofa feeling extremely agitated around pm,fear
1086,i honestly don t think it s possible for me to feel romantic love at this point,love
1087,i like build quality and how the button layout changes according to the phone s function i also like that the haptic feedback really feels like the phone has buttons herrman is still convinced there aren t haptics,joy
1088,i like listening to hardcore sxe music its the one thing that lets me feel rebellious while not chocolating out or spending till its gone,anger
1089,i feel the time at hand my beloved signals his agreement,love
1090,i don t even feel particularly loyal to shell,love
1091,i feel its casual and straight up,joy
1092,i feel ashamed that i so readily turn it aside,sadness
1093,i guess they cant help but at least feel remorseful that she died so horribly and im pretty sure matt wasnt crying because he cared,sadness
1094,i feel so annoyed,anger
1095,i just feel like a smarter more well rounded person because of it,joy
1096,i was bopping around the house yesterday singing to myself and possibly out loud just a bit i feel charming oh so charming,joy
1097,i am feeling very unsure of my future,fear
1098,i came across the exchange point feeling strong,joy
1099,i really remember is feeling wonderful in the oatmeal bath,joy
1100,i got separated from the man i loved,sadness
1101,i feel todays schedule was an aching am to pm backed up by a mere hours of sleep one sandwich and tall espresso,sadness
1102,i could feel the delicate pressure of her fingers searching to feel my arm beneath the course fabric,love
1103,ive clawed time back and i still feel strong,joy
1104,i didn t walk the whole distance just sampled four or five stretches but i came home feel charmed by the experience,joy
1105,i love feeling brave,joy
1106,i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper,joy
1107,im going to sleep now while i still feel triumphant,joy
1108,i have one of the guest rooms in our current house that was supposed to be my craft office closet but i honestly never use it since it is up stairs in a cold or hot room that i feel i can t get messy,sadness
1109,i also have a niggling feeling that im getting complacent in my abilities,joy
1110,i feel at ease after sweet communing teach me it is far too little i know and do,love
1111,i feel combination slightly superior sitting in on virtual event you ll feel as if it s another day office,joy
1112,i remember feeling the most terrified i had ever felt in my entire life and that its still affecting me now but ive never thought it accounted to trauma,fear
1113,i put up my christmas tree and im feeling fairly festive,joy
1114,i feel numb the way a wound does before it really starts to hurt,sadness
1115,i didnt want others negative energy weighing us down and influencing my feelings and thought process during this special time,joy
1116,i feel glad and proud myself i could answer some complicated questions that i can t ever been done before,joy
1117,im just feeling very uncertain and,fear
1118,i tell people it feels like i am trying to convince people i am innocent but no one believes me,joy
1119,i feel very very burdened by so many situations around me right now,sadness
1120,im not sure i relish the feeling of squelching mud between my toes when its contents are uncertain,fear
1121,i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,joy
1122,im constantly feeling alone,sadness
1123,im taking advantage of feeling artistic incase it runs away again bell had her baby the other day yay,joy
1124,i still feel ashamed that i live in a world of people who dont know how,sadness
1125,i don t want you to feel pressured into making love,fear
1126,i feel like im actually supporting myself by making use of what i know and love,joy
1127,i ask her what shed like to do and she just says she doesnt mind so i am always making suggestions and just feel like im having to try every day to keep her entertained,joy
1128,i like feeling suspicious and paranoid about everyone around me including my cat spending way too much time on self loathing thoughts sinking into unwarranted and unnecessary depression and then feeling supremely guilty for acting like such a bitch,fear
1129,i honestly believe those darker days are the reason i push so hard to be someone of worth in my future i feel it is my duty to make up for all the time i lost,sadness
1130,i still want to be a lady who likes ladies who does not feel inhibited to kiss another woman in public but i guess i will just have to disregard societal views that pertain to my sexual preferences and how i portray them,sadness
1131,i done something that i didn t feel inspired or challenged by,joy
1132,i feel that everyone has the ability to be artistic in his or her own special way and find that the most attractive art is unleashed fromthe virgin artists,joy
1133,i think the energy in our jobs and in our writing should not always be spent on what we think will sell but rather on our pet projects we truly feel invigorated about,joy
1134,im even starting to feel more sociable,joy
1135,i actually feel quite scared to get back to exercising because i feel like ive lost so much strength and condition and put on so much weight,fear
1136,i find it hard to feel jolly when throngs of people around me are so lost in the fervor of getting stuff that they cant see their heart for the green in their wallet encouraged by the constant barrage and pressure from every angle to shop here and buy more,joy
1137,i think he feels pretty cute in this,joy
1138,i wanted to go and ask him about my batting but was feeling hesitant about approaching such a big player,fear
1139,i got a bit caught up in the moment and forgot that at the core of the rude comments and silly songs were the real feelings of a beloved and brilliant comic actor and a very sweet and big hearted young woman,joy
1140,ive been feeling a bit overwhelmed with the whole marathon idea lately,fear
1141,i know i would feel weird about that and probably act strangely for a few days,surprise
1142,i feel like an impostor in my work as i smile and talk about behavior contracts positive reinforcement cognitive reframing physical activity and other means for diminishing dissolving or deferring the pain of reality,joy
1143,i feel suspicious if there is no one outside like the rapture has happened or something,fear
1144,i feel so deeply shocked and saddened,surprise
1145,i did manage two short runs and a walk but today im back to feeling just shy of awful,fear
1146,im told by horsey people that they are a rare find so i feel quite lucky,joy
1147,i have not spent that much time with them but i just don t feel that comfortable there,joy
1148,i think i brag and it feels strange because i still see myself as a little fattie pre teen unworthy of any male attention,surprise
1149,i cant help but feel a little humiliated,sadness
1150,i don t feel depressed for lack of a husband all the time,sadness
1151,i feel really lucky to be part of what looks like an active and friendly homeschooling group here in dubai,joy
1152,i kicked you in the throat and now i feel terrific,joy
1153,im feeling much more positive about the impending move,joy
1154,i want her to still feel appreciative of things i do for her,joy
1155,i am feeling mellow excited about it partly because i know annie will churn all kinds of emotions inside of me esp,joy
1156,i want her to be able to trust me with everything i want her to feel like she is the most valuable thing on the face of the earth i want her to feel like there is nothing that i could ever even consider thinking about because of how amazing she is,joy
1157,im glad i have a god with whom i can feel safe,joy
1158,i doubles victory over brown struff we went back on sunday feeling really optimistic and looking forward to another day filled with more fedtastic tennis,joy
1159,i face turn red and feel shy emm no,fear
1160,i hoped to get from her this weekend in an attempt to not feel so utterly isolated inside ambleside with the curtains firmly closed on what was the warmest sunniest day of the year so far,sadness
1161,i felt the sadness and remorse we are supposed to feel when we realize we have wronged someone corinthians,anger
1162,i really feel that we are progressing towards a society that is more fearless incrementally throwing away seemingly rigid boundaries like paranoia over security of one s belongings a href http www,joy
1163,i feel so unimportant insignificant like im slipping through the gaps between his fingers and he doesnt care,sadness
1164,i am feeling a tad smug right now,joy
1165,i think browsers are more comfortable in my booth if all my attention is not focused on them and they don t feel pressured to make a purchase,fear
1166,i did develop unknown feelings for him i think thats the reason why i feel like ive been settling for all the other guys who liked me,love
1167,i wasnt feeling that hot prior to vineman but with a little racin and a lot of self talk im now in a better spot mentally and physically,love
1168,i visit m ller in my country and go to the expensive make up stands the sales assistants are always standing right next to me and looking at me like im going to steal something so i feel really uncomfortable shopping there,fear
1169,i was eager to know why i was feeling unhappy and unsatisfied,sadness
1170,i feel crappy actually,sadness
1171,i feel so invigorated so focused about what im being led to pursue right now and in the future,joy
1172,i feel i am shy and i am afraid of keeping my point of view,fear
1173,i feel like i get a lot of questions in my list of search phrases that point people here and sometimes i m awfully disturbed at the things that somehow bring my blog up in a search engine,sadness
1174,i couldn t help but feel sympathetic for netflix as an army of the misinformed denounced netflix for the recent price hike,love
1175,im not going to lie i feel a little insulted,anger
1176,i feel peaceful and unafraid certain that my god has my best interests at heart,joy
1177,i feel awful and have had chills on and off day and night,sadness
1178,i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,joy
1179,i feel virtuous for going to spin class then driving all the way to blackburn in the manual unsupervised and sucessfully handbrake starting,joy
1180,i feel like nothing can stop me and sometimes i feel like so defeated,sadness
1181,i email authors about interviews i feel a little intimidated,fear
1182,i believe people who use fulsome manners only for social reasons they aren t on the top of the scale of human evolution and i feel hurt by their fake behavior,sadness
1183,im not necessarily sure what but something in the education system must change or students can feel anxiety and pressure with needing to be flawless with their vast knowledge of the world,joy
1184,i dont think my desire level is too much to bear but i feel unwelcome,sadness
1185,i am feeling a lil bit gloomy,sadness
1186,i find that i never stop feeling excited for our company s future,joy
1187,i am grateful for every single thing i have maybe then ill start feeling dismayed when i don t have more,sadness
1188,i feel so stupid to think they will trust me,sadness
1189,i feel awful everytime ac,sadness
1190,i like the feeling of making some difference this time i was really reluctant to change at first however get used to it after a while,fear
1191,i feel like life was so flawless for so very long and now i am stressed out and wanting to cry half the time,joy
1192,i feel shafted or greedy,anger
1193,i stop feeling so depressed and,sadness
1194,i feel so emotional reaching three finals in four years,sadness
1195,i wasnt feeling well yesterday and today has been randomly busy,joy
1196,i the ultimate place to restore the peace to feel divine to kneel for worship and to attain hapiness,joy
1197,im feeling really positive desp,joy
1198,i feel when i read your words and realize one more time just how very good of a writer you are the feeling of shared sympathies,joy
1199,i feel pity for gatsby because the longing he feels for the past is so evident,love
1200,i met you i used to want to lock myself into a vault just to feel precious,joy
1201,i really hate that feeling when youre unsure about something,fear
1202,i feel like those rich people all fall into the category of don t belong when i see them on the bus,joy
1203,i write which is what i consider my real profession even though by teaching poetry to troubled and poor kids i feel i m doing something useful,joy
1204,i feel honored to be witness to another s process,joy
1205,i had a horrible tragedy something that i was terribly ashamed of or something that was causing me great pain or that was making me feel vulnerable i have more than just one or two very trusted people who i know i could call for help,fear
1206,i feel stupid and incapable and i dont know what i want to do and work is stupid and only for the next two weeks and i m questioning everything,sadness
1207,i am writing this at a time when i have also had an upset with the only real parent i have had almost constantly in my life and when theres no brothers and sisters around either i am an only child it feels kinda lonely,sadness
1208,i feel like this concert was much more successful than the previous one,joy
1209,i was just feeling needy,sadness
1210,i also feel so awful feeling this way,sadness
1211,i always intended on achieving just so i could be with everyone else and feel like i was an intelligent productive and successful person,joy
1212,i feel like i have been beaten hard with a baseball bat under my arm which the doctor said was a very apt description,sadness
1213,i feel overwhelmingly remorseful and guilty when i watch too much news or too many sad movies or television dramas,sadness
1214,i feel completely drained physically and mentally worn out,sadness
1215,i feel wonderful im tipping over backwards im so ambitious im looking back im running a race and youre the books i read so feel my fingers as they touch you arms im spinning around and i feel alright the book i read was in your eyes,joy
1216,im feeling so broke right now but i loved every minute of it,sadness
1217,i want to say that i feel vulnerable writing and sharing this info,fear
1218,i was using it to vent out ugly feelings and be vicious and nasty rather then deal with them like an adult,anger
1219,i always thought that if i contracted something from one of those people and passed it on to him that i d feel awful but after i got the sti test i thought i was basically in the clear,sadness
1220,i didnt feel that there were enough strong smart and funny female main characters in fiction and since thats what i imagine myself to be i started writing,joy
1221,i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings,fear
1222,i wasnt feeling casual much,joy
1223,i feel slightly emotional watching it,sadness
1224,i feel like i ve regained another vital part of my life which is living,joy
1225,i went up to the teacher and said im gonna step outside for a second im really not feeling too well,joy
1226,i pray that each of you who is hurting or feeling afraid tonight finds peace and soon,fear
1227,i could feel myself getting that shaky feeling,fear
1228,i feel more crucified heartbroken tortured and forsaken than i have ever before felt but not at the hands of my enemy at the hands of those i love,sadness
1229,i feel like he was more important to me than i thought he was,joy
1230,i believe its possible to be joyful and full of thanks while feeling overwhelmed and exhausted by life,surprise
1231,i want people to feel brave and i want society to accept us as disabled people amongst us who deserve dignity and respect not to be shunned and laughed at,joy
1232,im feeling awfully spiteful right now,anger
1233,i feel more of a sense of longing than of loss,love
1234,i guess you cant see how wed feel a bit unwelcome,sadness
1235,i stay up and feel foolish,sadness
1236,i think people born in the s and s hold the key to opening many doors for us we just need to make them feel treasured enough to share it,love
1237,i would like to reduce the amount of jealousy i feel god commands us not to be jealous and i feel that every jew religious or not should obey that prohibition,anger
1238,i feel so highly intimidated that i get flustered and cant form my words not even in english with her,fear
1239,i feel reluctant talking about myself and my current situation to you as i don t know how you ll feel but i guess its important you know all about me and the situation i am in so that we ll know if we can go further,fear
1240,i learned in the foundry of my own childhood that humor made a perfect shield for keeping people at bay for helping me conceal my true feelings for lending the appearance of truth to all the lies i would tell about how happy i was and for providing me with the wherewithal to get through each day,joy
1241,id never do but i woke feeling stressed,sadness
1242,i feel i need to put my beloved uggs to one side and get back on the ballet pump bandwagon,love
1243,i feel terrible about the lady driver though,sadness
1244,i had a pretty trying adolescence and any time im put into a situation where im made to feel inadequate it makes me revert right back into the shy awkward teenager with low self esteem that i was in high school,sadness
1245,i am being told i should feel satisfied because i am in good standing with the powers that be,joy
1246,i actually just feel really eager,joy
1247,im sitting here in the belmont library listening to hold on tight by electric light orchestra feeling a bit of discontent,sadness
1248,i feel really bless to have a very supportive family who appreciate everything that i do,love
1249,i feel so welcomed,joy
1250,i shut the door but i didn t feel triumphant,joy
1251,i was feeling pretty wiped out mentally amp physically i was determined to get some oxygen to my brain,joy
1252,i said in some recent interviews we will have two guests on the next alcest album and today i feel glad to reveal the first one,joy
1253,my roommate was rude to me,anger
1254,i feel so weird not saying goodnight to mike,surprise
1255,i feel lighter and more compassionate after i have these little talks with myself,love
1256,i was impressed with how dunham portrayed hannahs whole experience from trying to deny that its happening to feeling offended when you feel like someone is trying to minimise the distress its causing you,anger
1257,i watched his face contort in sadness i began to feel regretful of my actions,sadness
1258,i have been stumbling into quote after quote urging me because i really do feel they are meant for me to do away with my hated day job and dedicate my efforts to what matters most,sadness
1259,i prayed to trust god with my desire to feel a divine sense of home,joy
1260,i found is that feeling worthless is a waste of time,sadness
1261,i feel totally carefree with them around,joy
1262,i will not go into details from that long night but i woke up for our am bus feeling like i could barely stand and not trusting the pit in my stomach,joy
1263,i feel so incredibly graceful and sexy in this pose i have to say,joy
1264,i feel unimportant but even if i am in some way its still not my place to be making any decisions or voicing my opinions and its certainly not my place to be sharing my feelings,sadness
1265,i am learning to step back and call it out to not be too proud to admit that yes i am feeling annoyed and yes i should tell you why,anger
1266,i want to avoid feeling disliked,sadness
1267,i feel pretty lame typing that but my upper body is so weak,sadness
1268,i feel very needy,sadness
1269,i feel and i think that should be respected,joy
1270,i was feeling a little like a cold was coming on,anger
1271,i just wanna say that the last three months i feel so happy about my blog,joy
1272,i left feeling defeated like nothing had been accomplished the day a complete waste of time amp energy,sadness
1273,i had ritz crackers in my desk drawer because theyre something ill eat even when i feel crappy and or dont feel like eating,sadness
1274,i feel that tenure protects a lot of teachers that r innocent,joy
1275,i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,anger
1276,i did wake up this morning feeling more like myself so after days of sloth i was keen to get geared up and head to higher altitudes,joy
1277,i feel like the character precious,joy
1278,i feel in love with the weight watchers program and was faithful to count my points,love
1279,i feel like one of those girls in school that i hated because their outfits were perfect everyday because they went shopping once a week,sadness
1280,i fought i could feel myself trusting this man who was so patient and had a cool confidence more and more,joy
1281,i feel like my very essence is no more and work has drained my soul hopefully soon i will find my escape from work into a better path as i seem to be stuck only the cliquey get to move on and i do not want to roll like that,sadness
1282,i feel surprised because i didnt expect it,surprise
1283,i feel tortured by something,anger
1284,i feel suffocated yet charmed my brain pauses logic,joy
1285,i was feeling groggy and super tired during most of the fall we ended up staying home for thanksgiving instead of making the hour trip to see jimmys family,sadness
1286,i had coped for barely twenty four hours before i was feeling wrung out and distraught,fear
1287,i feel that the father wants to tell you that he is pleased with you,joy
1288,i uploaded and put the link to in my previous post is only good for six more days or until i feel gracious enough to upload it again,joy
1289,im pretty sure it had to do with the fact that im dealing with hyperemesis not enough sleep and feeling irritable,anger
1290,i wanted to feel assured,joy
1291,i feel like copying the handsome boy say yay so fun,joy
1292,i am sorry that you feel i deserve to be blamed for the friends i pick all of which are better then some of the friends i could be hanging out with getting high and drunk while underage,sadness
1293,i feel that it is dangerous to portray angels as walking the earth and intermarrying with humans,anger
1294,i am feeling a bit nostalgic so decided to take a tour through my memory lane,love
1295,i feel excited about something that is soley for me here is the video about it,joy
1296,i feel like i m a doomed gladiator in a stadium constructed of cardboard and copies of romeo and juliet and the outsiders are screaming for my blood,sadness
1297,i think she just rolled out i guess she s over it already i m kinda feeling that but no one has performed yet and word on the street is there is supposed to be a surprised performance by lil wayne nikki minaj and drake that would be dope,surprise
1298,i feel a tender compassion glancing at her huge and heavy rucksack,love
1299,i feel romantic and passionate toward my partner,love
1300,i hated the day job and after a few months of feeling like i was being cosmically punished for doing a good deed i was getting ready to quit when i met the woman that would become my wife,sadness
1301,i feel ashamed that i again let it come that far,sadness
1302,i feel a little ashamed that i had such low expectations in the first place,sadness
1303,i started feeling very gentle contractions about minutes apart,love
1304,i feel like im being a terrible person and that hes going to hate me for thinking these things,sadness
1305,i feel like a post might be devoted to dealing with emotions caused by situations vs,love
1306,i flung into my suitcase at the last minute didn t break on the crossing over or explode in the pressurized cabin so thus far i m feeling pretty splendid about things,joy
1307,i need to listen to a song where i can be angry and feel accepted at the same time,joy
1308,i find myself seeking and yearning for love and acceptance from people that can not provide it and then being disappointed when i am alone and feeling unloved and unworthy,sadness
1309,i feel accepted and appreciated by my teammates and peers,love
1310,i know that feeling for sure,joy
1311,i was left feeling bothered by it for a long time afterwards,anger
1312,i feel like hopeless helpless worthless scum,sadness
1313,i feel so blessed to have both lisa and god as friends in this life,joy
1314,i stopped feeling bitter and sorry for myself and lost myself in the work my work started getting better or rather continued to get better,anger
1315,i am still feeling a little remorseful that we didnt just break down and buy it,sadness
1316,i feel more and more stressed,anger
1317,i do not feel like i am intelligent enough to be a teacher,joy
1318,i feel naughty just being this girls friend,love
1319,i would stay in charge thereby helping z to feel safe yet at the same time be nurturing and loving,joy
1320,i fully enjoy music when i feel afraid using headphones,fear
1321,i feel so cranky right now,anger
1322,i feel all festive sitting down with my address book and list christmas songs in the background and writing a personal message in each one congratulations on your exam results,joy
1323,ive had so much more energy no more slugging around feeling lethargic after massive takeaways and choccy binges and my skin started to clear up instantly,sadness
1324,i feel pretty insecure about my current relationship,fear
1325,i enjoy hearing the faith stories of other believers sometimes these stories leave me feeling inadequate and guilty,sadness
1326,i feel like ending my life like some song from damaged or something,sadness
1327,i feel totally rejected,sadness
1328,i say no i feel guilty begins by giving you the reasons for and benefits of being assertive without being aggressive,sadness
1329,i feel more jaded,sadness
1330,i feel a little strange chasing after them since im so disappointed in the brand as a whole,fear
1331,i didn t feel too hot from the swim,love
1332,i was to her in fact so i m taking that as she feels regretful for what she has done,sadness
1333,i feel embarrassed by it,sadness
1334,i perceive you feel the dint of pity these are gracious drops,joy
1335,i always feel slightly worthless almost self condemning like i should be doing more amounting more saving the world one day at a time a preacher on a podium a counselor for teen single struggling mom s a writer a motivational speaker a super mom to my baby boy,sadness
1336,i chose to live my life as a normal person who has feelings wants and desires i have talked up for myself been faithful to myself and i have been determined to be treated with dignity and respect,love
1337,i feel this violence is petty and impractical,anger
1338,im feeling a bit more sociable now although i dont think ill be able to express everything i want to say,joy
1339,i try not to laugh because sometimes it hurts vellas feelings but some of the things he does are so funny,surprise
1340,i love tall guys they make me feel so little and innocent however innocent was the last thing that i was that night,joy
1341,i feel strongly about or a line that i want to draw in the sand so to speak i shouldn t be afraid especially at this point to bring up how i feel about what my conclusion should entail etc,fear
1342,i feel civilly disturbed class delicious title share this on del,sadness
1343,i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing,fear
1344,i feel is a dumb plot idea,sadness
1345,im doing things that make me feel brave and strong i have a a href http derfwadmanor,joy
1346,i just feel cold and drained all the time im either hungry or tired or cold at the moment and it sort of sucks,anger
1347,i have to leave my hair alone now if im feeling impatient,anger
1348,i feel not surprised by where i ended up i m happy with a lot of what i ve achieved the positions i ve put myself in,surprise
1349,i just love the colors and the way the yarns feel i also love supporting small businesses and it allows me to provide quality products in my own shop,joy
1350,i am not normally the kind of person who gets emotional upon meeting a public figure but as strange as it sounds seeing you yesterday for the first time ever the feeling came over me was the feeling one might feel upon seeing a beloved favorite loving aunt lol,love
1351,i am reliving all of the feelings of being rejected less than and not good enough from years ago,sadness
1352,i love a movie with a good feel to it that really keeps you enthralled and the road has just that,surprise
1353,i was feeling quite casual that day,joy
